subject_label,image_outlier_percentage,contrast_name
495 (vif=32),27.643352612644843,Q03_v_baseline
497 (vif=30),22.478484685866476,Q03_v_baseline
512 (vif=34),28.624013674398267,Q03_v_baseline
513 (vif=3),1.557052849164232,Q03_v_baseline
518 (vif=5),4.099139387434659,Q03_v_baseline
519 (vif=6),4.1969272355057345,Q03_v_baseline
524 (vif=5),1.784031959930833,Q03_v_baseline
525 (vif=2),1.1134299286466718,Q03_v_baseline
526 (vif=6),6.785920139924075,Q03_v_baseline
541 (vif=3),3.0735595174209447,Q03_v_baseline
546 (vif=3),3.348637529068034,Q03_v_baseline
548 (vif=4),0.5179575855146781,Q03_v_baseline
549 (vif=4),1.5133265756365155,Q03_v_baseline
553 (vif=2),1.5109415061713671,Q03_v_baseline
554 (vif=6),2.895871842267406,Q03_v_baseline
555 (vif=3),2.194661419513843,Q03_v_baseline
556 (vif=3),2.5393039572277543,Q03_v_baseline
557 (vif=2),1.4127561465227674,Q03_v_baseline
558 (vif=2),0.6272732693339693,Q03_v_baseline
561 (vif=2),0.2615626180112496,Q03_v_baseline
567 (vif=2),2.061892552620595,Q03_v_baseline
568 (vif=3),12.200027825810427,Q03_v_baseline
570 (vif=4),4.189374515532765,Q03_v_baseline
572 (vif=6),4.317770755073242,Q03_v_baseline
573 (vif=4),5.4037723848707095,Q03_v_baseline
574 (vif=4),1.7220201538369806,Q03_v_baseline
577 (vif=2),0.34424502613638625,Q03_v_baseline
579 (vif=4),6.422992069644028,Q03_v_baseline
581 (vif=5),8.464611531810863,Q03_v_baseline
582 (vif=4),2.2674060382008627,Q03_v_baseline
583 (vif=5),0.9894063164589668,Q03_v_baseline
584 (vif=3),1.4429670264146444,Q03_v_baseline
585 (vif=4),1.1651064337248822,Q03_v_baseline
586 (vif=3),1.0816290024446962,Q03_v_baseline
587 (vif=6),1.515314133524139,Q03_v_baseline
588 (vif=4),4.8830322183133585,Q03_v_baseline
589 (vif=5),1.2585216544431856,Q03_v_baseline
590 (vif=2),1.0223997773935165,Q03_v_baseline
591 (vif=3),1.2056526146324011,Q03_v_baseline
592 (vif=5),3.4643133981277203,Q03_v_baseline
593 (vif=5),2.9260827221592827,Q03_v_baseline
594 (vif=4),1.798342376721722,Q03_v_baseline
595 (vif=3),2.0543398326476257,Q03_v_baseline
596 (vif=8),5.818774471806491,Q03_v_baseline
597 (vif=4),2.08852582831475,Q03_v_baseline
598 (vif=4),8.585852562955896,Q03_v_baseline
601 (vif=2),1.3686323614175262,Q03_v_baseline
604 (vif=5),6.387216027666806,Q03_v_baseline
605 (vif=2),12.561365849780374,Q03_v_baseline
606 (vif=3),1.0041142448273805,Q03_v_baseline
607 (vif=6),1.9168008268240813,Q03_v_baseline
608 (vif=4),3.9949913541231887,Q03_v_baseline
609 (vif=2),2.373939140977481,Q03_v_baseline
610 (vif=2),0.1729175362232425,Q03_v_baseline
611 (vif=7),7.635402381094349,Q03_v_baseline
612 (vif=4),3.852682209369348,Q03_v_baseline
613 (vif=4),4.251783833204142,Q03_v_baseline
614 (vif=2),1.4318367022439529,Q03_v_baseline
616 (vif=5),1.1977023830819074,Q03_v_baseline
617 (vif=4),1.740703197980641,Q03_v_baseline
619 (vif=2),0.6399936398147597,Q03_v_baseline
621 (vif=3),1.3042354858585257,Q03_v_baseline
622 (vif=3),0.6845149364975255,Q03_v_baseline
624 (vif=4),2.943970743147894,Q03_v_baseline
626 (vif=2),0.7938306203168167,Q03_v_baseline
627 (vif=6),11.220956810367102,Q03_v_baseline
628 (vif=4),2.718581678691392,Q03_v_baseline
629 (vif=4),1.4155387275654403,Q03_v_baseline
631 (vif=2),0.38240613757875697,Q03_v_baseline
633 (vif=4),1.4385943990618726,Q03_v_baseline
634 (vif=6),5.782998429829269,Q03_v_baseline
635 (vif=6),13.41601574145847,Q03_v_baseline
636 (vif=7),9.04259336553177,Q03_v_baseline
637 (vif=2),0.5358456065032894,Q03_v_baseline
638 (vif=4),5.914972273567468,Q03_v_baseline
641 (vif=7),5.720589112157891,Q03_v_baseline
642 (vif=2),1.5220718303420586,Q03_v_baseline
643 (vif=3),0.5608888358873452,Q03_v_baseline
645 (vif=5),1.6580207898555046,Q03_v_baseline
646 (vif=4),2.689960845109614,Q03_v_baseline
647 (vif=2),0.9655556218074851,Q03_v_baseline
648 (vif=3),1.063740981456085,Q03_v_baseline
